내용링크,제목,작가,별점,줄거리,태그,관심,이용가,몇화,이미지링크
/webtoon/list?titleId=758037,참교육,채용택 / 한가람,9.87,"무너진 교권을 지키기 위해 교권보호국 소속 나화진의 참교육이 시작된다!
<부활남> 채용택 작가 X <신석기녀> 한가람 작가의 신작!",#액션#블루스트링#사이다#학원물#다크히어로#먼치킨,888507,15세 이용가,총 125화,https://image-comic.pstatic.net/webtoon/758037/121/thumbnail_202x120_f14334f4-c769-4265-81bb-9b505610e5b4.jpg
/webtoon/list?titleId=648419,뷰티풀 군바리,설이 / 윤성원,9.81,'여자도 군대에 간다면?'본격 여자도 군대 가는 만화!,#드라마#직업드라마#밀리터리,783219,15세 이용가,총 405화,https://image-comic.pstatic.net/webtoon/648419/402/thumbnail_202x120_36a2495e-810e-4e83-9d15-f7964936e1d2.jpg
/webtoon/list?titleId=183559,신의 탑,SIU,9.88,"자신의 모든 것이었던 소녀를 쫓아 탑에 들어온 소년
그리고 그런 소년을 시험하는 탑",#판타지#세계관#이능력배틀물#소년왕도물#먼치킨,1962263,12세 이용가,총 590화,https://image-comic.pstatic.net/webtoon/183559/583/thumbnail_202x120_39473d9d-0a9b-46bf-ad0d-3ab5d5485472.jpg
/webtoon/list?titleId=733074,백수세끼,치즈,9.85,"백수 시절 내 곁을 지켜줬던 그녀... 돌아와 주면 안 되겠니?
음식 메뉴마다 담겨 있는 우리들의 연애 흑역사!",#드라마#음식&요리#감성드라마,484825,전체연령가,총 177화,https://image-comic.pstatic.net/webtoon/733074/174/thumbnail_202x120_bcc7c340-66bc-46d5-92f2-40efc32910a4.jpg
/webtoon/list?titleId=774866,똑 닮은 딸,이담,9.98,"'우리 엄마가 살인마인 것 같다.' 
성적 우수, 품행 단정, 모범적인 자식인 길소명은 엄마가 요구하는 기준에 맞춰 완벽한 딸로 살아왔다.
그러나 남동생이 강물에서 시체로 떠오른 그 날, 소명의 머릿속엔 섬뜩한 의혹이 피어오른다.
자식의 인생에 방해되는 모든 것을 없애려는 엄마와 그녀에게서 벗어나려는 딸, 두 사람의 잔혹한 모녀 스릴러!
2020 지상최대공모전 2기 우수상 수상작.",#스릴러#2020 지상최대공모전#서스펜스,495954,15세 이용가,총 104화,https://image-comic.pstatic.net/webtoon/774866/104/thumbnail_202x120_8db6bc2f-7db3-4fdb-ab05-f9c43dc733b5.jpg
/webtoon/list?titleId=783052,퀘스트지상주의,박태준 만화회사,9.75,"[외모지상주의], [싸움독학], [인생존망]과 세계관을 공유하는 작품!
공부, 싸움, 외모.
뭐 하나 잘난 것 없는 평범한 고등학생 ‘김수현’의 눈앞에 갑자기 퀘스트창이 나타났다!
첫 번째 퀘스트, [엄마한테 사과하기]를 완료한 수현은 보상으로 키가 3cm 커지게 되는데!
퀘스트 엄청 쉽잖아?! 어떤 퀘스트든 완료해주마! 그런데 다음 퀘스트가?
[system] 학교 일진녀와 키스하십시오",#드라마#게임판타지#학원물,549646,15세 이용가,총 104화,https://image-comic.pstatic.net/webtoon/783052/100/thumbnail_202x120_892a7137-dd41-4ada-a012-2e4db47b7376.jpg
/webtoon/list?titleId=728750,장씨세가 호위무사,김인호 / 조형근,9.93,"‘당신이 부른 것이오. 나란 사람을... ’
은둔고수 광휘. 호위무사 되다.
웹소설 원작 웰메이드 무협 시대극!",#무협/사극#사이다#힘숨찐#판무#먼치킨#소설원작,311930,12세 이용가,총 232화,https://image-comic.pstatic.net/webtoon/728750/227/thumbnail_202x120_9ba37d54-dc23-4c66-8de6-29967490e6f2.jpg
/webtoon/list?titleId=602910,윈드브레이커,조용석,9.83,"혼자서 자전거를 즐겨타던 모범생 조자현.
원치 않게 자전거 크루의 일에 자꾸 휘말리게 되는데...
자유를 꿈꾸는 청춘들의 스트릿라이딩 드라마!",#스포츠#스포츠성장,1150481,12세 이용가,총 463화,https://image-comic.pstatic.net/webtoon/602910/458/thumbnail_202x120_0e3d7896-6b69-453e-8f0c-b8a477824510.jpg
/webtoon/list?titleId=654774,소녀의 세계,모랑지,9.92,"완벽해 보이지만 사실 외로웠던 백조들과 맘씨 착한 오리가 만나
여러 갈등을 함께 겪으며 진짜 친구가 되어가는 소녀들의 찐 우정물",#드라마#학원로맨스#하이틴#직진남#삼각관계#까칠남#감성드라마,1124815,전체연령가,총 385화,https://image-comic.pstatic.net/webtoon/654774/382/thumbnail_202x120_40d58ba5-7ee9-42bb-8f46-44a34d12857a.jpg
/webtoon/list?titleId=796867,버림받은 왕녀의 은밀한 침실,혜니 / 성혜림,9.96,연령확인필요,연령확인필요,연령확인필요,연령확인필요,연령확인필요,연령확인필요
/webtoon/list?titleId=795297,신화급 귀속 아이템을 손에 넣었다,정선율 / 헤스,9.9,"D급 무투계 레이더로 마법계 레이더들의 고기방패나 하며 별 볼 일 없이 살던 재현. 
그러던 어느 날, 던전에서 우연히 ""오딘의 눈"" 이라는 최강의 귀속 아이템을 얻게 됐다.
신의 눈을 가진 자, 세계를 구할 신의 대적자의 운명을 개척하라!",#판타지#아포칼립스#사이다#게임판타지#회귀#헌터물#소년왕도물#먼치킨,301542,15세 이용가,총 73화,https://image-comic.pstatic.net/webtoon/795297/68/thumbnail_202x120_a560d287-2474-47c9-ac36-30e4646f31d7.jpg
