내용링크,제목,작가,별점,줄거리,태그,관심,이용가,몇화,이미지링크
/webtoon/list?titleId=758037,참교육,채용택 / 한가람,9.87,"무너진 교권을 지키기 위해 교권보호국 소속 나화진의 참교육이 시작된다!
<부활남> 채용택 작가 X <신석기녀> 한가람 작가의 신작!",#액션#블루스트링#사이다#학원물#먼치킨#다크히어로,888298,15세 이용가,총 125화,https://image-comic.pstatic.net/webtoon/758037/thumbnail/thumbnail_IMAG21_15cb2611-34c0-4f02-a689-41d0b1016579.jpg
/webtoon/list?titleId=648419,뷰티풀 군바리,설이 / 윤성원,9.81,'여자도 군대에 간다면?'본격 여자도 군대 가는 만화!,#드라마#직업드라마#밀리터리,783225,15세 이용가,총 405화,https://image-comic.pstatic.net/webtoon/648419/thumbnail/thumbnail_IMAG21_d9398229-cbfd-47dc-9208-0a6fb936f3a7.jpg
/webtoon/list?titleId=183559,신의 탑,SIU,9.88,"자신의 모든 것이었던 소녀를 쫓아 탑에 들어온 소년
그리고 그런 소년을 시험하는 탑",#판타지#세계관#이능력배틀물#소년왕도물#먼치킨,1962524,12세 이용가,총 590화,https://image-comic.pstatic.net/webtoon/183559/thumbnail/thumbnail_IMAG21_5f3fec31-5c95-4afe-a73f-3046288edb47.jpg
/webtoon/list?titleId=774866,똑 닮은 딸,이담,9.98,"'우리 엄마가 살인마인 것 같다.' 
성적 우수, 품행 단정, 모범적인 자식인 길소명은 엄마가 요구하는 기준에 맞춰 완벽한 딸로 살아왔다.
그러나 남동생이 강물에서 시체로 떠오른 그 날, 소명의 머릿속엔 섬뜩한 의혹이 피어오른다.
자식의 인생에 방해되는 모든 것을 없애려는 엄마와 그녀에게서 벗어나려는 딸, 두 사람의 잔혹한 모녀 스릴러!
2020 지상최대공모전 2기 우수상 수상작.",#스릴러#2020 지상최대공모전#서스펜스,494851,15세 이용가,총 104화,https://image-comic.pstatic.net/webtoon/774866/thumbnail/thumbnail_IMAG21_46cf2e65-7b7c-4fb7-8f54-0078456d8ff0.jpg
/webtoon/list?titleId=733074,백수세끼,치즈,9.85,"백수 시절 내 곁을 지켜줬던 그녀... 돌아와 주면 안 되겠니?
음식 메뉴마다 담겨 있는 우리들의 연애 흑역사!",#드라마#음식&요리#감성드라마,484640,전체연령가,총 177화,https://image-comic.pstatic.net/webtoon/733074/thumbnail/thumbnail_IMAG21_80df3e76-47af-4007-b57c-e8f2830835e5.jpg
/webtoon/list?titleId=783052,퀘스트지상주의,박태준 만화회사,9.75,"[외모지상주의], [싸움독학], [인생존망]과 세계관을 공유하는 작품!
공부, 싸움, 외모.
뭐 하나 잘난 것 없는 평범한 고등학생 ‘김수현’의 눈앞에 갑자기 퀘스트창이 나타났다!
첫 번째 퀘스트, [엄마한테 사과하기]를 완료한 수현은 보상으로 키가 3cm 커지게 되는데!
퀘스트 엄청 쉽잖아?! 어떤 퀘스트든 완료해주마! 그런데 다음 퀘스트가?
[system] 학교 일진녀와 키스하십시오",#드라마#게임판타지#학원물,549076,15세 이용가,총 104화,https://image-comic.pstatic.net/webtoon/783052/thumbnail/thumbnail_IMAG21_800f4c56-26ac-419e-9ed0-baf322311dea.jpg
/webtoon/list?titleId=728750,장씨세가 호위무사,김인호 / 조형근,9.93,"‘당신이 부른 것이오. 나란 사람을... ’
은둔고수 광휘. 호위무사 되다.
웹소설 원작 웰메이드 무협 시대극!",#무협/사극#사이다#힘숨찐#판무#먼치킨#소설원작,311739,12세 이용가,총 232화,https://image-comic.pstatic.net/webtoon/728750/thumbnail/thumbnail_IMAG21_47c21251-b213-4882-bacc-15adce1acfc8.jpg
/webtoon/list?titleId=602910,윈드브레이커,조용석,9.83,"혼자서 자전거를 즐겨타던 모범생 조자현.
원치 않게 자전거 크루의 일에 자꾸 휘말리게 되는데...
자유를 꿈꾸는 청춘들의 스트릿라이딩 드라마!",#스포츠#스포츠성장,1150442,12세 이용가,총 463화,https://image-comic.pstatic.net/webtoon/602910/thumbnail/thumbnail_IMAG21_e861f2cf-6157-4d33-8e02-7b4cbf0a8baf.jpg
/webtoon/list?titleId=654774,소녀의 세계,모랑지,9.92,"완벽해 보이지만 사실 외로웠던 백조들과 맘씨 착한 오리가 만나
여러 갈등을 함께 겪으며 진짜 친구가 되어가는 소녀들의 찐 우정물",#드라마#학원로맨스#하이틴#직진남#삼각관계#까칠남#감성드라마,1124878,전체연령가,총 385화,https://image-comic.pstatic.net/webtoon/654774/thumbnail/thumbnail_IMAG21_4048794550434817075.jpg
/webtoon/list?titleId=796867,버림받은 왕녀의 은밀한 침실,혜니 / 성혜림,9.96,연령확인필요,연령확인필요,연령확인필요,연령확인필요,연령확인필요,연령확인필요
/webtoon/list?titleId=795297,신화급 귀속 아이템을 손에 넣었다,정선율 / 헤스,9.90,"D급 무투계 레이더로 마법계 레이더들의 고기방패나 하며 별 볼 일 없이 살던 재현. 
그러던 어느 날, 던전에서 우연히 ""오딘의 눈"" 이라는 최강의 귀속 아이템을 얻게 됐다.
신의 눈을 가진 자, 세계를 구할 신의 대적자의 운명을 개척하라!",#판타지#아포칼립스#사이다#게임판타지#회귀#헌터물#소년왕도물#먼치킨,301146,15세 이용가,총 73화,https://image-comic.pstatic.net/webtoon/795297/thumbnail/thumbnail_IMAG21_4134925888999731505.jpg
/webtoon/list?titleId=813552,우아한 욕망,김종건,9.91,연령확인필요,연령확인필요,연령확인필요,연령확인필요,연령확인필요,연령확인필요
/webtoon/list?titleId=806189,별난식당,HO9,9.96,"<요리GO>의 새로운 이야기,<별난식당>.
특급호텔에서 최연소 팀장에 오르며 승승장구하던 주인공 한별은 퇴사를 하고 작은 식당을 차린다.
그 식당의 이름은 '별난식당'.

별난식당은 상권이라고는 찾아볼 수 없는, 서울에서 제일 가난한 동네인 부자동에 위치해 있다.
또한 메뉴도 별나다. 바로 메뉴가 없기 때문이다. 메뉴가 없이 한별 셰프가 그때그때 제철 식재료를 이용해 요리를 만드는 식당이다.

이 식당의 특별한 점은 요리를 먹는 손님이 마음까지 위로 받는다는 것.
한별 셰프는 대체 어떠한 방법으로 마음의 상처가 있는 많은 손님들을 요리로 치유하는 것일까?",#드라마#지금추천작#힐링#직업드라마#음식&요리#성장드라마,111281,전체연령가,총 35화,https://image-comic.pstatic.net/webtoon/806189/thumbnail/thumbnail_IMAG21_292de414-bd9a-418d-a4e9-d97060398223.jpg
/webtoon/list?titleId=739115,앵무살수,김성진,9.97,"평범한 뱃사공으로 살고 있는 노소하. 
하지만 그의 정체는 전설적인 구파검법의 후계자다. 
이제 진시황이 남긴 비서 선근경을 향한 살수행이 시작된다.",#판타지#판무,226446,15세 이용가,총 165화,https://image-comic.pstatic.net/webtoon/739115/thumbnail/thumbnail_IMAG21_7077747896626722102.jpg
/webtoon/list?titleId=796075,절대검감,김두루미 / 티아이 / 한중월야,9.95,"단전이 부숴졌다는 이유로 집에서는 내놓은 자식 취급을 받던 소운휘는 혈교에 납치되어서도 삼류 첩자로 살아왔다.
어느 날, 전설로만 알려진 검선비록을 찾는데 이용당하다 죽은 운휘는 10년 전, 혈교에 납치되던 그 날로 돌아가게 되고 검의 목소리를 듣는 신비한 능력을 얻는다.",#무협/사극#환골탈태#소설원작,119360,12세 이용가,총 50화,https://image-comic.pstatic.net/webtoon/796075/thumbnail/thumbnail_IMAG21_31f75c4c-81c9-454a-8d92-9e23b577e1a5.jpg
/webtoon/list?titleId=814541,ㅋㅋ단편.zip,네이버웹툰 작가,9.77,"가볍고! 웃기고! 신선한! 단편들이 왔다!
신인, 기성 작가님들이 함께하는 릴레이 연재!
허전한 일상을 강렬하게 채워줄 
상상 이상의 단편이 매주 공개됩니다.",#개그,18202,전체연령가,총 8화,https://image-comic.pstatic.net/webtoon/814541/thumbnail/thumbnail_IMAG21_18a2bffa-6c6e-4884-ab41-45b4646cabe3.jpg
/webtoon/list?titleId=801035,퍼니게임,배진수,9.59,"<머니게임>,<파이게임> 에서 실패를 맛본 주인공은, 마지막 <퍼니게임>에서
우승하기 위해 신체를 단련하고 정신을 다잡는다. 모든 참가자 중 본인만이
유일한 게임 경험자임을 확인한 주인공은, 승리를 위해 악마가 되기로 결심한다.",#스릴러,89199,15세 이용가,총 56화,https://image-comic.pstatic.net/webtoon/801035/thumbnail/thumbnail_IMAG21_01fd148f-edb2-4ada-9571-910981ec3376.jpg
/webtoon/list?titleId=759940,만렙돌파,"성불예정, 임형 / 미노",9.53,"알 수 없는 오류로 3000년간 각성 테스트에 갇힌 김기봉.
그 사이 현실에선 10년이 흘렀고, 온 세상은 몬스터와 던전으로 가득차게 되었다. 
만렙으로 귀환한 김기봉의 모든 것을 원래대로 돌려놓기 위한 싸움이 시작된다!",#판타지#고인물#게임판타지#먼치킨,248619,15세 이용가,총 115화,https://image-comic.pstatic.net/webtoon/759940/thumbnail/thumbnail_IMAG21_3976787538998813497.jpg
