상품명,주종,도수,용량,한 줄 설명,태그,맛
만강에 비친 달 X 2병,탁주,10.00%,500ml,단호박이 들어간 새콤한 막걸리,#단호박으로 만든 막걸리 #새콤 달콤 구수,은은한 단맛과 입에 침이 고일 정도의 새콤한 산미가 느껴져요
가덕 순쌀 생 막걸리 X 12병,탁주,6.00%,750ml,청주 햅쌀로 빚는 생 막걸리,#담백한 #깔끔한,단맛이 적고 담백함
천비향 약주,약주,16.00%,"375ml, 500ml",연예인도 마셨던 ‘천년 비밀의 향’을 간직한 술!,#연예인도 반한 술 #2020년 짱먹은 약주,깊고 진한 쌀의 단맛을 느껴보세요
문배술 2병 헤리티지 선물세트 (잔 포함),증류식소주,25.00%,"375ml, 500ml",화려한 문배향이 나를 감싸네,#문배토닉 #향기로운 꽃 향,달콤한 꽃 향이 은은하게 나요
고소리술 40%,증류식소주,40.00%,375ml,고소리가 뭔지 아는 사람 쏘리 질러!,#소고기구이 #오메기술을 증류하면? #차조로 만든 소주,고소하면서 코를 찌르는 작열감이 있어요
제주 오메기 맑은 술,약주,16%,500ml,직접 디딘 누룩과 좁쌀로 만든 떡을 발효시켜 만든 약주,#레모네이드 같은 짜릿함 #오메기떡으로 만들었어요,레모네이드 같은 산미와 쌀의 구수한 풍미를 한꺼번에 느낄 수 있어요
토끼소주 화이트 23%,증류식소주,23%,375ml,미국인 손에 의해 탄생한 우리나라 증류주!,#물처럼 편안한 목 넘김 #가볍고 깔끔한 맛,풍미가 옅어서 가볍게 즐기기 좋아요
아미주 40%,일반증류주,40%,500ml,양조장에서 처음으로 출시한 매실 증류주,#BTS 지민이 선물받은 술 #쌉쌀한 풍미,채소의 쌉쌀한 풍미를 느낄 수 있는 화사한 증류주
금풍양조 막걸리 X 4병,탁주,6.90%,750ml,강화도에서 3대째 운영하는 양조장의 막걸리,#우리나라 최초 비건 막걸리 #은은한 단맛과 가벼운 막걸리를 좋아한다면,목 넘김이 가볍고 여운이 구수한 막걸리
청주신선주 약주 16%,약주,16.00%,"375ml, 500ml",신라시대 최치원 선생이 신선봉에 정자를 짓고 마신 술,#10가지 약재가 들어간 술 #새콤쌉싸름,10가지 재료가 들어간 만큼 풍부한 맛과 향을 느껴보세요
하얀 까마귀 X 3병,탁주,8.00%,850ml,막걸리를 많이 마셔 몸이 하얘졌답니다,#포근한 단맛 #행운을 상징하는 하얀 까마귀,우유처럼 부드러운 목넘김을 가졌어요
모월 로 25%,증류식소주,25.00%,500ml,"사람을 품은 소주, 모월의 부드러움을 만나보세요",#부드럽고 깔끔 #쌀의 달큰한 풍미,은은하게 풍기는 달콤한 향과 함께 부드럽게 넘어가요
시나브로 캠벨 스위트,과실주,12.00%,750ml,달콤한 첫맛에 반전매력이 돋보이는 씁쓸한 끝맛,#익숙한 달콤씁쓸한 맛 #오프너 필요 없이 간편하게,달콤씁쓸하게 즐길 수 있는 레드와인
264 청포도 와인 광야 (Dry),과실주,12.50%,"375ml, 750ml",달콤한 과일향이 매력적인 화이트 와인,#청포도 와인 #이육사 광야,산뜻한 산미와 달콤한 꽃향
