상품명,주종,도수,용량,한 줄 설명,태그,맛,향미그래프,설명,
고운달 오크 (세트포장),일반증류주,52.00%,"200ml, 500ml",37년 내공으로 빚은 증류주,#선물하기 좋은 술 #부드러운 고도수 술,코를 톡 쏘는 알콜감과 은은하게 퍼지는 오미자 풍미,"달콤:1|화사:2|연상되는 향:오미자, 오크|향의 강도:4|여운:4|바디:4","[고운달 오크], 어떤 맛을 갖고 있나요?



‘고운달 오크’는 스모키한 오크향과 은은한 오미자 향을 느낄 수 있는 증류주인데요.



전체적으로 오미자 특유의 달콤하고 쌉싸름한 맛이 돋보이며



매끄러운 목 넘김 후에도 오랫동안 오미자의 여운을 느낄 수 있는 술입니다
정~말 높은 도수를 가진 ‘고운달 오크‘는



입술만 살짝 적실 정도로 조금씩 마시며 천천히 풍미를 즐겨보세요.



높은 도수의 작열감(스파이시함)에 거부감이 드신다면



온더락으로 마시는 것을 추천해 드립니다.



맛있는 음식과 함께 즐겨도 좋지만



특별한 안주 없이 물, 초콜릿, 견과류, 과일과 간단하게 즐기기에도 좋답니다.",
고운달 백자 (세트포장),일반증류주,52.00%,"200ml, 500ml",37년 내공으로 빚은 증류주,#선물하기 좋은 술 #부드러운 고도수 술,코를 톡 쏘는 알콜감과 은은하게 퍼지는 오미자 풍미,달콤:1|화사:2|연상되는 향:오미자|향의 강도:4|여운:4|바디:4,"[고운달 백자], 어떤 맛을 갖고 있나요?



‘고운달 백자’는 향에서부터 코를 찌르는 듯한 높은 도수와



은은한 오미자 향을 느낄 수 있는 증류주인데요.



전체적으로 오미자 특유의 달콤하고 쌉싸름한 맛이 돋보이며



매끄러운 목 넘김 후에도 오랫동안 오미자의 여운을 느낄 수 있는 술입니다. 정~말 높은 도수를 가진 ‘고운달 백자‘는



입술만 살짝 적실 정도로 조금씩 마시며 천천히 풍미를 즐겨보세요.



높은 도수의 작열감(스파이시함)에 거부감이 드신다면 온더락으로 마시는 것을 추천해 드립니다.



맛있는 음식과 함께 즐겨도 좋지만



특별한 안주 없이 물, 초콜릿, 견과류, 과일과 간단하게 즐기기에도 좋답니다.",
오미로제 결,과실주,12.00%,750ml,스파클링 와인의 걸작,#세계최초 오미자 스파클링 #3년숙성,새콤달콤한 맛 뒤에 오는 산미와 향긋한 오미자향,단맛:2|산미:3|탄닌:1|바디:3|탄산3,"향을 맡으면 오미자의 다섯 가지 맛에서 신맛이 향으로 느껴짐과 동시에



시트러스 계열의 상큼한 향도 올라오는데요.



술을 마시면 혀에 닿아 터지는 미세한 기포를 느낄 수 있으며 그 후에 은은한 단맛이 입안을 메웁니다.



후에 오미자와 같은 붉은 베리류의 산미와 향기가 느껴지면서



마지막에는 시원한 허브향과 씁쓸함으로 마무리 됩니다. 오미자의 다섯 가지 맛이 잘 어우러진 오미로제는



진한 양념이 들어간 요리와도 잘 어울리며



문경에서는 더덕구이, 산나물, 송이버섯 등과 즐겨 마신다고 합니다.



한식은 전체적으로 다 어울리나 자극성이 적은 나물과 더 잘 어울립니다.



육류로는 스테이크와 함께하기 좋습니다.

오미나라의 걸작이라고 표현할 수 있는 ‘오미로제 결’은 오미자로 만든 세계 최초의 스파클링 와인입니다!



유기농 문경 오미자를 전통 샴페인 제조 방식 그대로 발효하고



3년의 숙성 과정을 거쳐 만들어진 ‘오미로제 결’은



미슐랭 3스타의 신라 호텔 ‘라연’이 한식 페어링으로 선택한 스파클링 와인입니다.



또한 2018년 코리아 소믈리에 와인 어워드에서



'최고의 한국 와인'으로 선정될 만큼 맛과 품질을 인정받은 와인입니다!",
샤토미소 퀸 아이스와인,과실주,12.00%,375ml,"극강의 단맛, 마치 꿀 같은 와인이에요.",#샤인머스캣과 청수로 만들어요 #꿀처럼 농밀한 단맛,마치 꿀을 먹는 듯이 끈적하게 느껴지는 단맛,단맛:5|산미:4|바디:4,"다른 와인들 보다 꽃, 복숭아 같은 향이 무척 강하게 나는데요.



아이스 와인인 만큼 청포도의 농밀한 단맛이마치 꿀을 먹는 듯이 끈적하게 느껴져요.



삼키고 나서 미약하게 느껴지는 산미는 달콤함에 가려져서 거슬리지 않게 넘어간답니다.
진한 단맛의 술은 일반 음식과 페어링하기 어려워서,



식사 마지막에 즐기는 디져트류와 조금씩 마시는걸 추천해 드리는데요.



술처럼 농밀한 텍스처를 가진 치즈케이크나 달콤한 소스를 찍어 먹는 안주와 마시기 좋답니다.



단맛이 너무 강하게 느껴진다면 얼음을 타서 안주 없이 온더락으로 즐겨보세요.
아이스와인은 겨울에 꽁꽁 언 포도를 수확해 만드는 디저트 와인인데요.



단순히 얼은 상태가 아니고, 얼었다 녹았다 하는 동안



?과실 안에 있는 산도와 당분이 점점 농축되어가는 과정을 거친 포도랍니다.



그냥 먹어도 달콤한 샤인머스캣과 청수 포도를 블렌딩 해서 더욱 달콤한 맛을 가진 술이에요.",
신례명주 50%,일반증류주,50.00%,750ml,오크 풍미 가득한 감귤 증류주,#선물하기 좋은 고급 술 #TV 다수 출연 인기 있는 술,강렬하게 피어오르는 감귤과 오크 풍미를 느껴보세요,"달콤:1|화사:2|연상되는 향:오크, 귤|향의 강도:4|여운:4|바디:4","코를 맵게 찌르는 감귤 향과 오크 향을 경험한 뒤에 한 모금 살짝 마셔보세요.



맛에서도 고스란히 감귤의 풍미가 강렬하게 느껴지며 매운맛에 혀가 아려온답니다.



목을 넘긴 뒤에는 가슴 속이 따듯해지고 입안에선 바닐라가 떠오르는 고소·달콤한 여운이



은근하게 맴돌 거예요. 급하지 않게 천천히 고도수 증류주의 매력에 빠져보세요.

고급스럽고 묵직한 외관만큼이나 격식 있는 자리나



소중한 사람과 함께할 때 자랑스레 한 병 꺼내 즐겨보세요.



거기에 술과 어울리는 안주까지 준비되어 있다면 더할 나위 없는 자리가 되겠죠.





신례명주 50%에 추천하는 음식으로는 매콤하고 화사한 맛을



묵직하게 감싸줄 수 있는 풍미 짙은 음식이 있어요.



반대로 맛을 희석하는 국물음식이나 매운맛을 자극하는



매운 음식·뜨거운 음식은 피하는 것을 추천해 드립니다.

신례명주는 농업회사법인 ㈜시트러스에서 만드는 술로,



제주 신례리에서 만든 명주라는 의미가 있습니다.



제주 신례리는 연중 내내 감귤 농사를 짓는 마을로 알려져 있어요.



그만큼 감귤 생산량도 많은데, 문제는 크기가 작다는 이유로



상품성을 인정받지 못해 버려지는 감귤도 많다는 거였어요.



신례마을은 이 고민을 함께 나누게 되었고 그렇게 140개의 지역 농가가 뜻을 한데로 모아



지금의 시트러스가 탄생하게 됐다고 해요.",
무작 53%,증류식소주,53.00%,"350ml, 500ml","쌀, 물, 전통누룩으로만 빚은 순수한 소주",#입안을 불사르는 강렬한 맛 #쌀로만 빚었어요,강렬한 쌀의 감칠맛이 입안 전체를 채워줘요,"고소:1|화사:2|연상되는 향:쌀밥,볏짚|향의 강도:5|여운:5|바디:5","다크 초콜릿같이 묵직한 향이 촉촉한 볏짚의 향과 합쳐지면서 달콤하게 코로 스며드는데요.



쌀의 감칠맛이 짭조름한 맛으로 변해 꽃봉오리 터지듯 입안과 코 전체로 퍼져 나가요.



여운이 긴 만큼 강한 알코올의 자극을 좋아하시는 분께 추천해 드리고 싶은 술이에요. 

술의 풍미가 무척 강하기 때문에 시원한 국물 요리를 추천해 드리는데요.



술의 긴 여운을 국물이 지워주면서 입안을 깔끔하게 만들 수 있거든요.



담백한 생선회 또한 짭조름한 술의 풍미와 무척 잘 어울리는 좋은 궁합이랍니다!



온더락보다는 스트레이트로 조금씩 즐겨 보세요.

무작(無作)은 아무것도 더하지 않은 순수함을 뜻하는데요.



이름처럼 홍천의 쌀과 물, 직접 띄운 전통 누룩으로만 빚고



어떠한 첨가물도 넣지 않았어요!





거친 맛을 줄이기 위해 5개월 정도 발효 및 숙성 후 술의 맑은 부분만 증류에 사용하는데요.



독특하게 물을 넣어서 도수를 맞추지 않고 딱 53도에서 증류를 멈춰요.



이렇게 만든 원주를 항아리에 담아 5년 정도 숙성 시켜 완성한답니다.",
코리 진,일반증류주,47.00%,500ml,진에 10가지 약재를 넣어 한국적인 분위기를 몰씬 담아냈답니다~,#토속적인 재료로 향을 더한 #상큼한 마무리의 한국 진,입안 가득 상쾌함을 선사하는 화사한 향의 진,"화사:2|연상되는 향:쑥,미나리,라임|향의 강도:5|여운:4|바디:4","코가 뻥 뚫릴 것만 같은 화사한 향을 가지고 있어요. 



술을 마시면 쑥, 미나리 같은 우리나라 토속적인 채소 향들이 쌉쌀하게 느껴지지만, 



라임에서 느껴질 법한 산뜻한 향이 바로 퍼지면서 상쾌한 여운을 줍니다. 



그다음 높은 도수로 인해 술이 닿은 입안과 입술까지 얼얼해지는 것을 느낄 수 있을 거예요.

코리 진만의 복합적인 풍미를 잘 느낄 수 있도록 맛과 향이 강하지 않은 음식과 함께 해보세요. 



음식의 부족한 향을 술맛이 곳곳에 잘 채워주며 입안 가득 다채로움으로 가득 찰 거예요.



코리 진은 토닉워터를 섞어 진토닉으로 즐기기도 좋은데요. 



뼛속까지 스며드는 시원함은 물론 크래커 같은 간단한 안주와 함께 곁들이기만 해도



근사한 칵테일 바에 온 듯한 기분을 느낄 수 있을 거예요. 

진은 호밀, 옥수수 등을 원료로 만든 술에 주니퍼베리처럼 향 성분을 가진 식물을 침출시킨 후 증류해서 만들어져요. 



여기에 고리 진은 오미자, 구기자, 인삼, 생강 등 10가지 약재를 넣어 토속적인 향을 추가했고,



마 원단으로 제작된 라벨과 기왓장 색으로 특수 제작된 병을 사용해 한국적인 분위기마저 몰씬 담아냈답니다. ",
크라테 산머루 미디엄 드라이,과실주,11.50%,750ml,은은한 단맛을 지닌 미디엄 드라이 와인,#유기농 산머루 #미디엄 드라이 레드와인,중후한 느낌의 삼나무 향과 중간 정도의 산미와 단맛,단맛:2|산미:3|탄닌:3|바디:3,"마시는 순간 단맛을 느낄 수 있는 '크라테 미디엄 드라이'는



단 맛 뒤엔 떫은 느낌과 훈연한 참나무 향, 검은 후추의 매운맛을 느낄 수 있는데요.



여운이 길지 않고 가벼운 스타일이라 편안한 분위기 속에서 부담 없이 즐기기 좋은 술입니다!

중후한 풍미와 부드러운 단맛을 느끼고 싶다면 레드 와인을 마시는 온도인 16~18℃에서,



산미를 더 잘 느끼고 싶다면 이보다는 약간 낮은 온도인 14~16℃에서 마시는 것이 좋습니다.





전체적으로 개성이 강한 와인은 아니라 향이나 양념이 강한 음식보다는



육포나 구운 야채처럼 담백하면서도 감칠맛 나는 음식을 추천해 드립니다.



떫은 맛을 내는 약간의 탄닌이 있어서 연어처럼 살짝 기름진 음식과 함께해도 좋답니다 :)

'크라테 와인'은 해발 1317m 청정 수도산에서



정성스레 키운 산머루를 사용하여 빚은 와인인데요.



500m 고지 이상의 청정지역에 위치하여 하루하루 일교차가 크기 때문에



씨알이 단단하고 과실이 좋아 맛과 향이 뛰어나답니다.



또한 3년 이상의 오크통 숙성 과정을 거쳐 만들어져서



최상의 온도와 습도 조건으로 독특한 풍미를 내는 것이 특징입니다.",
크라테 산머루 드라이,과실주,11.50%,750ml,유기농 산머루로 만든 레드와인,#소고기구이 #유기농 산머루 #드라이한 레드와인,훈연된 나무향과 은은한 산머루의 산뜻한 산미,단맛:2|산미:4|탄닌:3|바디:3,"드라이 와인에 속하며 산미와 부드러운 떫은맛이 돋보이는 술입니다.



마시는 온도에 따라 맛과 향이 매우 다르게 느껴지는데요.



너무 차가운 온도에서는 산미가 돋보이며,



높은 온도에서는 강렬한 나무의 향이 다른 맛과 향을 느끼기 어렵게 만듭니다.



그러므로 차갑게 냉장 보관 후, 마시기 전에 15분 가량 상온에 놔둔 후 마시는 것을 추천?해 드립니다.

복합적인 풍미가 매력적인 와인은 다양한 향과 맛을 가지고 있어



양념이 강한 음식은 피하는 게 좋습니다.



담백하고 기름기가 적은 소고기 안심, 닭 안심 부위가 잘 어울리며



구운 야채 중에는 버섯이 있습니다.

크라테 와인은 해발 1317m 청정 수도산에서



정성스레 키운 산머루를 사용하여 빚은 와인인데요.



500m 고지이상의 청정지역에 위치하여 하루하루 일교차가 크기 때문에



씨알이 단단하고 과실이 좋아 맛과 향이 뛰어나답니다.



또한 3년 이상의 오크통 숙성과정을 거쳐 만들어져서



최상의 온도와 습도 조건으로 독특한 풍미를 내는 것이 특징입니다",
천비향 화주,증류식소주,40.00%,375ml,천비향 약주를 증류한 소주,#고소한 증류주 #고도수,고소한 풍미 가득한 증류주,"고소:2|화사:1|연상되는 향:쌀밥,누룩|향의 강도:5|여운:3|바디:2","‘천비향 화주’는 고소한 쌀의 풍미가 입안 가득 퍼지도록 만드는 술이에요.



높은 도수를 가졌지만 부드러운 목 넘김을 나타내며



목을 넘긴 후엔 전통소주 특유의 누룩향을 느낄 수 있답니다.

‘천비향 화주’는 누룩향이 강한 술인만큼 강한 풍미의 음식과 잘 어울리는데요.



소곱창, 삼겹살과 같은 기름진 음식과 함께한다면



느끼한 맛을 싸-악 잡아줘서 깔끔하게 즐길 수 있을거에요.



풍부한 향에 비해 목에 남는 작열감은 크지 않은 편이라



얼음없이 스트레이트로 마시기에 좋지만



언더락으로 한층 더 부드럽게 마시는 것도 추천해 드립니다.

‘천비향 화주’를 얻기 위해서는 1년이라는 시간동안 천비향 약주를 만들고,



그 약주를 증류 시켜 다시 1년 이상 숙성을 거쳐야 하는데요.



오랜 시간 소중하게 만들어지는 술인 만큼 소중한 분께 선물로 드리기에 좋은 술입니다.",
