전통주명,도수,규격,주원료,제조사
입장탁주,7,750ml,국내산 쌀,(농) 입장주조㈜
톡 한잔 소주,30,500ml,"국내산 보리, 쌀",(농)(유)대마주조
자연담은 복분자막걸리,6,360ml,"국내산 복분자(고창), 정제수",(농)국순당고창명주㈜
로얄 안동소주,45,"600ml, 800ml",국내산 쌀,(농)유토피아㈜
지란지교,17,500ml,"찹쌀,멥쌀,전통누룩(밀),정제수",(유)친구들의 술 지란지교
지란지교 무화과 탁주,12,500ml,"찹쌀, 멥쌀(국내산), 전통누룩(국내산 밀), 정제수, 무화과청, 레드비트분말, 밀함유",(유)친구들의술지란지교
지란지교 약주,17,"375ml, 500ml","찹쌀, 멥쌀(국내산), 전통누룩(국내산 밀), 정제수, 밀함유",(유)친구들의술지란지교
꽃 와인,11.5,"375ml, 750ml",포도(92%(안동 청수 100%)),264청포도 와이너리
인사이더 블루베리,3,330ml,"사과, 정제수, 효모, 설탕, 블루베리, 구연산(산도조절제), 합성향료(블루베리향),베리류색소,이산화탄소",가나다라브루어리
로제사이더 오미한잔,4.5,500ml,"사과즙(국내산),건조오미자(국내산), 이산화탄소, 효모, 소브산칼륨, 메타중아황산칼륨",가나다라브루어리
가야 프리미엄 막걸리,6,750ml,김해 쌀(100%),가야양조장
님 그리다,6,750ml,"찹쌀, 멥쌀, 누룩(밀)",가야양조장
포엠 로제와인,12,750ml,"포도, 설탕, 효모, 메타중아황산나트륨, 소르빈산칼륨",갈기산농업회사
포엠 화이트와인,12,750ml,"포도, 백설탕, 효모",갈기산농업회사
로제와인,12,550ml,포도(국내산),갈기산포도농원
모리,19,375ml,"정제수, 보리증류원액",강산명주
연희유자,10,375ml,"멥쌀, 찹쌀, 유자",같이양조장
연희장미,10,375ml,"정제수, 멥쌀, 찹쌀, 누룩, 장미",같이양조장
연희민트,9,375ml,"정제수, 멥쌀, 찹쌀, 누룩(밀함유), 민트",같이양조장
연희매화,12,375ml,"찹쌀, 누룩, 정제수, 매화",같이양조장
산내울 사과애주,16,750ml,"사과, 설탕, 주정, 정제수, 과당",거창사과원예농협
산내울 복분자주,16,750ml,"복분자, 설탕, 주정, 정제수, 과당",거창사과원예농협
장수홍삼주,25,750ml,국내산 인삼,경원리큐르
계룡백일주 40%,40,600ml,"찹쌀, 백미, 누룩, 재래종국화꽃, 오미자, 진달래, 재래종 솔잎",계룡백일주
장보고의 꿈 황칠약주,15,500ml,"정제수, 경기미햅쌀(국내산 멥쌀), 국, 효모 (밀함유)",고금주조장
완도유자막걸리,6,750ml,"정제수, 완도쌀,소맥분,입국,효모,정제효소,유자즙,",고금주조장
징기스칸,40,375ml,레드와인,고도리 와이너리
고도리 화이트와인 스위트,10.5,750ml,거봉포도(영천),고도리 와이너리
레드 와인 500,12,500ml,친환경 거봉 포도,고도리 와이너리
고도리 청수 와인,10.5,750ml,포도(청수),고도리 와이너리
고도리 레드와인 스위트,12,750ml,MBA 머루포도(영천),고도리 와이너리
고도리 화이트와인 드라이,10.5,750ml,거봉포도(영천),고도리 와이너리
고도리 복숭아와인,6.5,750ml,복숭아(경북 영천),고도리 와이너리
고도리 로제와인,12,"375ml, 750ml",거봉 포도,고도리 와이너리
고도리 아이스와인(아이스 375),12,375ml,,고도리 와이너리
고도리 샤인머스캣 화이트와인,10.5,"375ml, 750ml","샤인머스캣99%(국내산), 설탕, 효모, 소브산칼륨, 메타중아황산칼륨",고도리 와이너리
고도리 징기스칸 브랜디,40,375ml,,고도리 와이너리
고도리 아이스 와인 망고와인,12,375ml,mba머루포도 효모 메타중아황사 설탕,고도리 와이너리
고도리 프룬와인,11.5,375ml,"자두 99.585%, 설탕 0.4%, 효모 0.005%, 메타중아황산칼륨 0.005%, 솔빈산칼륨 0.005%",고도리 와이너리
꽃빛서리,17.2,360ml,"증류원액(백미, 생화20가지, 효모), 정제수, 주정, 결정과당, 구연산, L-아스파라긴산, 효소처리스테비아",고창서해안복분자주
고창선운산 땡큐블루베리주,13,300ml,"블루베리과실, 주정, 효모, 구연산, 정제수",고창선운산
쿨샷 7.5,7.5,300ml,"복분자과실, 주정, 효모, 구연산, 정제수",고창선운산
고창선운산 복분자주 특1호,15,1800ml,"복분자과실, 주정, 효모, 구연산, 정제수",고창선운산
고창선운산 땡큐복분자주,13,300ml,"복분자과실, 주정, 효모, 구연산, 정제수",고창선운산
동학 1957,13,"375ml, 700ml","국내산 쌀, 구연산, 효모, 젖산, 정제효소제, 국, 주정, 정제수",고헌정영농조합법인
골목막걸리 프리미엄 12,12,350ml,"정제수, 쌀(국내산), 국, 효모",골목양조장
과천미주,9,500ml,"정제수, 경기미햅쌀(국내산 멥쌀), 국, 효모 (밀함유)",과천도가
광양 생 막걸리 골드,5,750ml,"정제수, 쌀(국산100%), 입국(국산), 곡자(국산누룩), 아스파탐(감미료, 페닐알라닌 함유), 정제효소, 효모, 젖산, 액화효소",광양주조공사
광양 생 막걸리,5,750ml,"정제수, 쌀(국산100%), 입국(국산), 곡자(국산누룩), 아스파탐(감미료, 페닐알라닌 함유), 정제효소, 효모, 젖산, 액화효소",광양주조공사
경주교동법주,16,900ml,찹쌀(국내산),교동법주
구암대추막걸리,6,1000ml,"쌀, 대추",구암농산
아이싱 자몽,4,"350ml, 300ml","쌀, 자몽엑기스",국순당
국순당 생막걸리 대박,6,750ml,쌀,국순당
국순당 이화주,12.5,400ml,"이화누룩, 국내산쌀",국순당
옛날막걸리 古,8,750ml,"국내산쌀, 누룩",국순당
1000억 유산균 막걸리,5,750ml,"국내산쌀, 누룩",국순당
사시통음주,18,550ml,"쌀, 누룩, 밀가루",국순당
2017년 햅쌀로 빚은 첫술,7,750ml,국내산 햅쌀,국순당
려,25,"375ml, 500ml","쌀증류소주원액(여주산 쌀 100%), 정제수, 고구마증류소주원액(여주산 고구마 100%)",국순당
오디랑,13,330ml,"오디(국산) 18.2%, 정제수, 과당, 주정, 구연산, 효모",국순당고창명주㈜
명작복분자,13,375ml,복분자,국순당고창명주㈜
선운산의 아침 복분자 막걸리,6,750ml,"복분자, 쌀, 효모, 국, 과당, 구연산, 젖산, 정제수",국순당고창명주㈜
그랑꼬또 M56,12,750ml,포도,그린영농조합
그랑꼬또 로제와인,12,750ml,포도,그린영농조합
그랑꼬또 청수,12,750ml,포도,그린영농조합
그랑꼬또 레드와인,12,"750ml, 375ml",국내산 포도(캠벨얼리),그린영농조합
바랑 탁,15,375ml,"국내산 찹쌀, 국내산 멥쌀, 누룩, 소맥분, 정제수",금계당
별바랑,17.5,375ml,"국내산 찹쌀, 국내산 멥쌀, 누룩, 정제수",금계당
금산인삼주 12.5%,12.5,360ml,"국내산쌀 93.5%, 국내산인삼 6.5%",금산인삼주
명인 홍삼주,12.5,375ml,"쌀, 홍삼, 누룩, 정제수 등",금산인삼주
금설,35,375ml,"쌀(국내산)증류원액, 금박(순도97%), 기타과당",금산인삼주
미르아토 로제와인,12,750ml,켐벨포도 등,금용농산
미르아토 청수 스위트 (화이트)와인,12,750ml,,금용농산
미르아토 증류주 tears of god,40,200ml,포도 등,금용농산
사과와인,12,500ml,"사과(국내산), 백설탕, 효모, 메타중아황산칼륨",금이산농원
복숭아와인,12,500ml,"복숭아(국내산), 백설탕, 효모, 메타중아황산칼륨",금이산농원
금정산성막걸리,8,750ml,"백미, 밀(누룩), 정제수",금정산성 토산주
금풍양조,6.9,750ml,"정제수, 쌀(강화도), 국, 효모, 밀함유",금풍양조장
과하주23,23,"400ml, 700ml, 1000ml",쌀 100%,김천과하주
김천대학교 자두사랑 자두와인,12,750ml,피자두 (레드) / 후무사 (화이트),김천대학교 자두사랑
미생 막걸리,6,750ml,"국내산 쌀, 누룩, 효모, 정제효소, 정제수",김포금쌀탁주영농조합법인
선호 생막걸리,6,750ml,"국내산 쌀, 누룩, 효모, 정제효소, 천연감미료, 정제수",김포금쌀탁주영농조합법인
김포특주,15,375ml,"국내산 쌀, 효모, 정제효소,정제수, 프락토올리고당",김포금쌀탁주영농조합법인
한강의설레임,11,600ml,"쌀(김포산), 개량누룩, 효모, 정제수",김포도가두두
김포 막걸리,6,750ml,"쌀, 누룩, 정제수",김포양조
김포예주,13,750ml,"국내산 쌀, 옥전분",김포양조
김포별주,13,500ml,"쌀, 옥수수 전분, 국, 효모, 젖산, 효소제, 정제수",김포양조
김포약주,11,750ml,"옥수수 전분, 밀, 국, 효모, 젖산, 효소제, 정제수",김포양조
김포예주 프리미엄,13,750ml,"국내산 쌀, 국, 효모, 젖산, 정제수",김포양조
까메오 막걸리,6,550ml,"정제수, 쌀, 효모, 누룩, 과당 등",낙천
지장수 호박 생 막걸리,6,750ml,"정제수(지장수), 쌀, 효모, 누룩, 과당 등",낙천
지장수 호박막걸리,6,550ml,"정제수(지장수), 쌀, 효모, 누룩, 과당 등",낙천
낙천 옥수수 생동동주,5,1700ml,"정제수, 쌀, 옥수수분말, 치자, 입국, 효모, 올리고당, 정제효소, 아스파탐, 사카린나트륨, 밀함유",낙천 탁주제조장
열대야,9,750ml,"쌀. 찹쌀, 누룩, 망고, 레몬, 정제수, 밀함유",날씨양조장
정고집 나주배 약주 9%,9,500ml,"쌀, 쌀가루(국내산), 배착즙액(나주산), 정제효소제, 종국, 젖산, 효모",남도탁주
정고집 나주배 약주 15%,15,500ml,"쌀, 쌀가루(국내산), 배착즙액(나주산), 정제효소제, 종국, 젖산, 효모",남도탁주
남한산성소주,40,400ml,"쌀, 엿, 누룩",남한산성소주
남한산성소주 21,21,375ml,"쌀증류식소주원액{맵쌀백미(국내산), 쌀}, 조청{쌀(국내산), 엿기름(보리, 국내산), 누룩, 정제수}, 정재수",남한산성소주
강소주,50,"200ml, 1800ml","국내산 쌀, 정제수",내국양조
화주,25,375ml,"국내산 쌀, 홍삼농축액, 정제수",내국양조
송이주,13,375ml,"국내산 쌀, 송이농축액, 누룩, 정제수",내국양조
능이주,13,375ml,"국내산 쌀, 능이농축액, 누룩, 정제수",내국양조
별,20,375ml,"올벼찹쌀, 누룩, 효모, 젖산, 정제수",내국양조
